q,t,action,v
34,13.0,15.0,370.19315865
34,14.0,10.0,269.96299999999997
34,15.0,5.0,170.0
35,1.0,20.0,238.86408669234703
35,2.0,20.0,723.4105265592418
35,3.0,25.0,717.9793986160025
35,4.0,20.0,712.5080711808657
35,5.0,20.0,707.039180285654
35,6.0,20.0,700.9829447399571
35,7.0,20.0,683.0976137231611
35,8.0,20.0,645.7546913583324
35,9.0,20.0,608.9926904953452
35,10.0,20.0,572.3570800289892
35,11.0,15.0,535.5699126634453
35,12.0,15.0,475.09922954902
35,13.0,15.0,375.05277005
35,14.0,10.0,275.0955
35,15.0,5.0,175.0
36,1.0,25.0,243.7103374728319
36,2.0,25.0,742.263124571446
36,3.0,25.0,736.8363965186049
36,4.0,20.0,731.3572043103452
36,5.0,20.0,725.8677243745739
36,6.0,20.0,718.853764259123
36,7.0,20.0,695.8433264425784
36,8.0,20.0,657.0325551169774
36,9.0,20.0,620.2657624160544
36,10.0,15.0,583.5957797541131
36,11.0,15.0,546.8093868252109
36,12.0,15.0,480.29618222305
36,13.0,15.0,380.2352674
36,14.0,15.0,280.038
36,15.0,5.0,180.0
37,1.0,25.0,248.5417627990147
37,2.0,25.0,761.1029044823653
37,3.0,20.0,755.6361257135359
37,4.0,20.0,750.1572775357574
37,5.0,20.0,744.6849809185736
37,6.0,20.0,736.0333872167304
37,7.0,20.0,708.0145244484986
37,8.0,20.0,668.4030775266251
37,9.0,20.0,631.8555555836189
37,10.0,15.0,594.9528198128538
37,11.0,15.0,557.9517261177052
37,12.0,15.0,485.41524163075
37,13.0,15.0,385.31562775
37,14.0,10.0,284.954
37,15.0,5.0,185.0
38,1.0,25.0,253.38130429707167
38,2.0,25.0,779.9406484166635
38,3.0,25.0,774.4923333383385
38,4.0,20.0,768.9659907813917
38,5.0,20.0,763.3624552723356
38,6.0,20.0,752.0033349441558
38,7.0,20.0,719.8101006150059
38,8.0,20.0,679.5126031694032
38,9.0,20.0,643.204176180496
38,10.0,20.0,606.2198815565201
38,11.0,15.0,568.9283257792788
38,12.0,15.0,490.24737799287004
38,13.0,10.0,390.0502371
38,14.0,15.0,289.985
38,15.0,5.0,190.0
39,1.0,25.0,258.2472633756687
39,2.0,25.0,798.809923032094
39,3.0,20.0,793.2886032815709
39,4.0,20.0,787.8152605386152
39,5.0,20.0,781.9043619086804
39,6.0,20.0,766.7670648109626
39,7.0,20.0,731.5412477484429
39,8.0,20.0,690.9594753014404
39,9.0,20.0,654.3484721178436
39,10.0,15.0,617.6277182921663
39,11.0,15.0,579.4097415226233
39,12.0,15.0,495.28975952695
39,13.0,10.0,395.12041969999996
39,14.0,10.0,295.159
39,15.0,5.0,195.0
40,1.0,25.0,263.0784544540646
40,2.0,20.0,817.600512352728
40,3.0,20.0,812.1235703700659
40,4.0,20.0,806.6347610184044
40,5.0,20.0,800.0576288273547
40,6.0,20.0,780.3569025571213
40,7.0,20.0,742.8271306532843
40,8.0,20.0,702.4403252561796
40,9.0,20.0,665.7154998124763
40,10.0,15.0,628.9040998805497
40,11.0,15.0,589.3214599979971
40,12.0,15.0,500.28823963709
40,13.0,10.0,400.181312
40,14.0,10.0,300.127
40,15.0,5.0,200.0
41,1.0,25.0,267.9164852608417
41,2.0,20.0,836.4325493961337
41,3.0,20.0,830.9745047720937
41,4.0,20.0,825.450968076442
41,5.0,20.0,817.6136167789555
41,6.0,20.0,793.0108204937106
41,7.0,20.0,753.9977389908288
41,8.0,20.0,713.7923254576341
41,9.0,20.0,676.9667116528829
41,10.0,15.0,640.2243792660568
41,11.0,15.0,598.2285749927084
41,12.0,15.0,505.03960197944
41,13.0,10.0,405.17700625
41,14.0,15.0,304.92499999999995
41,15.0,5.0,205.0
42,1.0,20.0,272.72771502565917
42,2.0,25.0,855.2805765888952
42,3.0,20.0,849.7676337238062
42,4.0,20.0,844.1781180991957
42,5.0,20.0,834.2525298983211
42,6.0,20.0,805.1031630653443
42,7.0,20.0,765.3888016585931
42,8.0,20.0,725.3062543309948
42,9.0,15.0,688.3782415545097
42,10.0,15.0,651.5640322156635
42,11.0,15.0,606.1754832941193
42,12.0,15.0,510.36183385503
42,13.0,10.0,410.3418147
42,14.0,10.0,310.103
42,15.0,5.0,210.0
43,1.0,20.0,277.59663141556064
43,2.0,25.0,874.0644854836536
43,3.0,20.0,868.6050724604173
43,4.0,20.0,862.7715971287784
43,5.0,20.0,849.8330182812155
43,6.0,20.0,816.8980468997938
43,7.0,20.0,776.6556263708894
43,8.0,20.0,736.3211148249168
43,9.0,15.0,699.7787528220506
43,10.0,15.0,662.8320179160414
43,11.0,15.0,613.0688880301452
43,12.0,15.0,514.9576665074001
43,13.0,10.0,415.2436087
43,14.0,10.0,315.2075
43,15.0,5.0,215.0
44,1.0,20.0,282.37777138972103
44,2.0,20.0,892.928721379529
44,3.0,20.0,887.4143906974183
44,4.0,20.0,881.0957344391674
44,5.0,20.0,864.1562001965594
44,6.0,20.0,828.5114765088802
44,7.0,20.0,787.9898042505479
44,8.0,15.0,747.6958938012135
44,9.0,15.0,711.0546894605983
44,10.0,15.0,674.2110341151889
